"";"BE";"CDS.PP";"PCP.PEV";"PPD.PSD";"PS";"changes";"BE";"CDS.PP";"PCP.PEV";"PPD.PSD";"PS"
"150";ConstÅ ncia;5;3;1;4;2;PPD.PSD : { CDS.PP };5;4;1;2.5;2.5
"151";Entroncamento;4;5;3;2;1;CDS.PP : { BE ^ PS }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;2.5;2.5;1;4
"152";Macao;5;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"153";Ourem;5;2;4;2;1;PPD.PSD : { PS };5;3;4;1;2
"154";Serta;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PS };5;4;2;1;3
"155";Tomar;4;5;3;2;1;CDS.PP : { BE }  ^  PCP.PEV : { PPD.PSD ^ PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"156";Torres Novas;4;5;3;2;1;CDS.PP : { BE }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"157";Vila de Rei;5;3;4;1;2;PCP.PEV : { CDS.PP };5;4;3;1;2
"158";Vila Nova da Barquinha;5;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"159";Almeida;5;1;4;1;3;PCP.PEV : { CDS.PP ^ PS }  ^  PS : { CDS.PP };5;4;2;1;3
"160";Belmonte;4;3;2;4;1;PCP.PEV : { PS }  ^  PPD.PSD : { CDS.PP ^ PCP.PEV ^ PS };5;4;2;1;3
"161";Celorico da Beira;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"162";Covilha;4;5;3;2;1;CDS.PP : { BE }  ^  PCP.PEV : { PPD.PSD ^ PS };5;4;1;2.5;2.5
"163";Figueira de Castelo Rodrigo;4;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"164";Fornos de Algodres;5;3;4;2;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { PS };5;4;3;1;2
"165";Fundao;5;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"166";Gouveia;5;1;4;1;3;PCP.PEV : { CDS.PP ^ PS }  ^  PS : { CDS.PP };5;4;2;1;3
"167";Guarda;5;1;4;1;3;PCP.PEV : { CDS.PP ^ PS }  ^  PS : { CDS.PP };5;4;2;1;3
"168";Manteigas;4;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"169";Muda;5;2;4;3;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { CDS.PP ^ PS };5;4;2;1;3
"170";Pinhel;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PS };5;4;2;1;3
"171";Sabugal;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PS };5;4;2;1;3
"172";Seia;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"173";Trancoso;5;3;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"174";Alcochete;5;3;1;4;2;CDS.PP : { PS }  ^  PPD.PSD : { CDS.PP ^ PCP.PEV ^ PS };5;2.5;2.5;1;4
"175";Amadora;5;3;2;3;1;CDS.PP : { PS }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;3;2;1;4
"176";Barreiro;4;5;1;3;2;CDS.PP : { BE }  ^  PPD.PSD : { PS };5;4;1;2;3
"177";Cascais;5;1;4;1;3;PS : { CDS.PP ^ PPD.PSD };-1;-3;-2;-4;-5
"178";Lisboa;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"179";Loures;4;5;1;3;2;PS : { PCP.PEV };4;5;2;3;1
"180";Mafra;5;4;3;1;2;CDS.PP : { PCP.PEV }  ^  PS : { PPD.PSD };-1;-3;-2;-4;-5
"181";Moita;3;5;1;4;2;CDS.PP : { BE }  ^  PPD.PSD : { BE ^ PCP.PEV }  ^  PS : { PCP.PEV };5;4;3;1.5;1.5
"182";Montijo;4;5;2;3;1;CDS.PP : { BE }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"183";Odivelas;4;5;2;3;1;CDS.PP : { BE };5;4;2.5;2.5;1
"184";Oeiras;5;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"185";Palmela;5;3;1;3;2;CDS.PP : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;3;2;1;4
"186";Seixal;4;5;1;3;2;CDS.PP : { BE };5;4;1;3;2
"187";Sintra;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PPD.PSD };5;4;1.5;3;1.5
"188";Vila Franca de Xira;4;5;2;3;1;CDS.PP : { BE }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"189";AlcËcer do Sal;4;5;1;3;2;CDS.PP : { BE }  ^  PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"190";Grandola;3;4;1;4;2;CDS.PP : { BE ^ PCP.PEV }  ^  PPD.PSD : { BE ^ PCP.PEV }  ^  PS : { PCP.PEV };-1;-3;-2;-4;-5
"191";Odemira;5;3;2;3;1;PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"192";Santiago do Cacem;4;5;1;3;2;CDS.PP : { BE }  ^  PPD.PSD : { PS };5;4;1;2;3
"193";Sines;5;4;2;3;1;CDS.PP : { PS }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;3;2;1;4
"194";Aljustrel;5;3;2;3;1;CDS.PP : { PS }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;2.5;2.5;1;4
"195";Almodavar;4;5;3;2;1;CDS.PP : { BE }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"196";Alvito;5;3;1;3;2;PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"197";Barrancos;3;3;1;3;2;PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"198";Beja;5;3;1;3;2;CDS.PP : { PCP.PEV }  ^  PPD.PSD : { PCP.PEV }  ^  PS : { PCP.PEV };-1;-3;-2;-4;-5
"199";Castro Verde;5;3;1;3;2;PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"200";Cuba;5;3;1;3;2;PPD.PSD : { PS };5;3.5;1;2;3.5
"201";Ferreira do Alentejo;5;3;2;3;1;PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"202";Mertola;5;3;2;3;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"203";Moura;5;3;1;3;2;CDS.PP : { PS }  ^  PPD.PSD : { PS };5;3;1;2;4
"204";Ourique;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"205";Serpa;4;5;1;3;2;CDS.PP : { BE }  ^  PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"206";Vidigueira;5;3;1;3;2;CDS.PP : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;3;2;1;4
"207";Almeirim;5;2;2;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"208";AlpiarÂa;4;4;1;3;2;PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"209";Azambuja;5;3;2;3;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"210";Benavente;5;4;1;3;2;CDS.PP : { PCP.PEV }  ^  PPD.PSD : { PCP.PEV }  ^  PS : { PCP.PEV };-1;-3;-2;-4;-5
"211";Cartaxo;4;5;3;2;1;CDS.PP : { BE }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"212";Chamusca;5;3;2;3;1;PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"213";Coruche;5;4;2;3;1;CDS.PP : { PS }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;2.5;2.5;1;4
"214";Golego;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"215";Rio Maior;5;1;4;1;3;PCP.PEV : { CDS.PP ^ PS }  ^  PS : { CDS.PP };5;4;2;1;3
"216";Salvaterra de Magos;2;4;3;4;1;CDS.PP : { BE }  ^  PCP.PEV : { BE ^ PS }  ^  PPD.PSD : { BE ^ PCP.PEV ^ PS };5;4;2;1;3
"217";Santarem;4;5;3;1;2;CDS.PP : { BE }  ^  PCP.PEV : { PS };5;4;2;1;3
"218";Alter do Châ o;5;4;3;1;2;CDS.PP : { PCP.PEV }  ^  PS : { PPD.PSD };-1;-3;-2;-4;-5
"219";Arronches;4;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"220";Avis;4;4;1;3;2;PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"221";Campo Maior;4;5;2;3;1;CDS.PP : { BE ^ PCP.PEV }  ^  PPD.PSD : { PCP.PEV };-1;-3;-2;-4;-5
"222";Castelo de Vide;4;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"223";Crato;4;4;2;3;1;PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"224";Elvas;5;2;4;3;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { CDS.PP ^ PS };5;4;2;1;3
"225";Fronteira;5;4;3;1;2;CDS.PP : { PCP.PEV }  ^  PS : { PPD.PSD };-1;-3;-2;-4;-5
"226";Gaviao;4;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"227";Marvao;5;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"228";Monforte;5;3;1;3;2;CDS.PP : { PS }  ^  PPD.PSD : { PS };5;3;1;2;4
"229";Nisa;5;3;2;3;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"230";Ponte de Sor;4;5;2;3;1;CDS.PP : { BE }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"231";Portalegre;5;3;2;3;1;PCP.PEV : { PS };5;4;1;2.5;2.5
"232";Sousel;4;4;3;1;2;CDS.PP : { PCP.PEV }  ^  PS : { PPD.PSD };-1;-3;-2;-4;-5
"233";Alandroal;4;5;1;3;2;CDS.PP : { BE }  ^  PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"234";Arraiolos;5;4;1;3;2;CDS.PP : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;3;2;1;4
"235";Borba;4;4;3;2;1;CDS.PP : { PS }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;3;2;1;4
"236";Estremoz;5;4;2;3;1;CDS.PP : { PS }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;3;2;1;4
"237";Evora;5;3;1;3;2;CDS.PP : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;2.5;2.5;1;4
"238";Montemor-o-Novo;5;4;1;3;2;CDS.PP : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;3;2;1;4
"239";Mora;5;3;1;3;2;CDS.PP : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;3;2;1;4
"240";Mourao;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"241";Portel;4;3;2;4;1;PCP.PEV : { PS }  ^  PPD.PSD : { CDS.PP ^ PCP.PEV ^ PS };5;3.5;2;1;3.5
"242";Redondo;4;3;2;4;1;PCP.PEV : { PS }  ^  PPD.PSD : { CDS.PP ^ PCP.PEV ^ PS };5;4;2;1;3
"243";Reguengos de Monsaraz;5;3;2;3;1;CDS.PP : { PS }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;3;2;1;4
"244";Vendas Novas;4;4;2;3;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"245";Viana do Alentejo;4;4;2;3;1;PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"246";Alcoutim;4;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"247";Aljezur;4;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;1.5;1.5;3
"248";Castro Marim;4;5;3;1;2;CDS.PP : { BE }  ^  PCP.PEV : { PS };5;4;2;1;3
"249";Faro;5;1;4;1;3;PCP.PEV : { CDS.PP ^ PPD.PSD ^ PS }  ^  PS : { CDS.PP };5;4;1;2.5;2.5
"250";Lagoa;4;5;3;2;1;CDS.PP : { BE }  ^  PCP.PEV : { PPD.PSD ^ PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"251";Lagos;5;4;3;2;1;PCP.PEV : { PPD.PSD ^ PS };5;4;1;3;2
"252";Loul_;5;4;3;2;1;PCP.PEV : { PPD.PSD ^ PS };5;4;1;2.5;2.5
"253";Monchique;4;4;3;1;2;PCP.PEV : { PPD.PSD ^ PS };5;4;1;2;3
"254";Olhao;4;5;3;2;1;CDS.PP : { BE }  ^  PCP.PEV : { PPD.PSD ^ PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"255";Portimao;4;2;5;3;1;PCP.PEV : { BE }  ^  PPD.PSD : { CDS.PP };-1;-3;-2;-4;-5
"256";Sao BrËs de Alportel;5;4;3;2;1;PCP.PEV : { PPD.PSD ^ PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"257";Silves;4;5;1;2;3;CDS.PP : { BE }  ^  PPD.PSD : { PCP.PEV }  ^  PS : { PCP.PEV };5;4;3;1;2
"258";Tavira;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PPD.PSD ^ PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"259";Vila do Bispo;4;4;3;2;1;PCP.PEV : { PPD.PSD ^ PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"260";Vila Real de Santo Antonio;4;5;3;1;2;CDS.PP : { BE }  ^  PCP.PEV : { PPD.PSD ^ PS };5;4;1;2.5;2.5
"261";Vila do Porto;4;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"262";Lagoa [R.A.A.];5;3;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"263";Nordeste;3;3;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"264";Ponta Delgada;3;5;4;1;2;CDS.PP : { BE }  ^  PCP.PEV : { BE };5;4;3;1;2
"265";PovoaÂâ o;3;3;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"266";Ribeira Grande;3;5;4;1;2;CDS.PP : { BE }  ^  PCP.PEV : { BE };5;4;2.5;1;2.5
"267";Vila Franca do Campo;4;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"268";Angra do HeroÃsmo;4;2;5;2;1;PCP.PEV : { BE ^ CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"269";Vila da Praia da Vitâria;4;3;5;2;1;PCP.PEV : { BE ^ CDS.PP ^ PPD.PSD ^ PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"270";Santa Cruz da Graciosa;3;3;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"271";Calheta [R.A.A.];3;3;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"272";Velas;4;1;4;2;3;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { CDS.PP }  ^  PS : { CDS.PP };5;4;3;1;2
"273";Lajes do Pico;4;3;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"274";Madalena;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PS };5;4;2;1;3
"275";Sâ o Roque do Pico;4;3;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"276";Horta;5;2;4;2;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { PS };5;4;3;1;2
"277";Lajes das Flores;3;3;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"278";Santa Cruz das Flores;4;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"279";Corvo;3;3;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"280";Calheta [R.A.M.];5;2;4;1;3;PCP.PEV : { CDS.PP }  ^  PS : { CDS.PP };5;4;3;1;2
"281";CÅ mara de Lobos;4;2;3;1;4;PCP.PEV : { CDS.PP }  ^  PS : { CDS.PP ^ PCP.PEV };5;4;3;1;2
"282";Funchal;4;2;3;1;4;PCP.PEV : { CDS.PP }  ^  PS : { CDS.PP };5;4;2;1;3
"283";Machico;5;3;4;2;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { PS };5;4;3;1;2
"284";Ponta do Sol;4;3;5;1;2;PCP.PEV : { BE ^ CDS.PP };5;4;2.5;1;2.5
"285";Porto Moniz;5;3;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"286";Ribeira Brava;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PS };5;4;2;1;3
"287";Santa Cruz;3;3;2;1;3;PCP.PEV : { PPD.PSD };5;4;1;2;3
"288";Santana;5;1;4;2;3;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { CDS.PP }  ^  PS : { CDS.PP };5;4;2;1;3
"289";Sao Vicente;2;4;3;1;4;CDS.PP : { BE }  ^  PCP.PEV : { BE }  ^  PS : { BE };5;4;2;1;3
"290";Porto Santo;5;3;4;2;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { PS };5;4;2.5;1;2.5
