Concelho;Total;BE;CDS-PP;CDS-PP-MPT;CDS-PP-MPT-PPM;CDS-PP-PPD/PSD;Grupo de cid;MPT;PAN;PCP-PEV;PCTP/MRPP;PND;PNR;PPD/PSD;PPD/PSD-CDS-PP;PPD/PSD-CDS-PP-MPT;PPD/PSD-CDS-PP-MPT-PPM;PPD/PSD-CDS-PP-PPM;PPD/PSD-CDS-PP-PPM-MPT;PPD/PSD-MPT;PPD/PSD-MPT-PPM;PPD/PSD-PPM;PPD/PSD-PPM-MPT;PPM;PPM-PPV;PPM-PPV-PND;PPV;PS;PS-BE-PND-MPT-PTP-PAN;PS-PTP-PND-BE;PTP;Total;Protec da qualidade do ar e clima;Gest de aguas residuais;Gestao de residuos;Protecao e recuperacao dos solos, de aguas subterraneas e superficiais;Protecao contra o ruido e vibracoes;Protecao da biodiversidade e paisagem;Outros dominios;Habitao;Outros fins;Total Custos;Violncia domstica contra cnjuge ou analogos;Furto em veiculo motorizado;Furto em residencia;Furto em edificio comercial ou industrial
Resende;7407.0;0.0;0.0;0.0;0.0;0.0;0.0;234.0;0.0;83.0;0.0;0.0;0.0;0.0;3187.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3903.0;0.0;0.0;0.0;a>b>c>d>e;31.9;0.0;0.0;31.9;0.0;0.0;0.0;69512.0;51203.0;18309.0;252.0;31.0;3.0;13.0
Alij•À_;7841.0;0.0;256.0;0.0;0.0;0.0;1770.0;0.0;0.0;158.0;0.0;0.0;0.0;3298.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2359.0;0.0;0.0;0.0;b>a>c>d>e;26.2;0.0;0.0;20.4;1.9;0.0;3.8;84914.0;46487.0;38427.0;417.0;29.0;12.0;10.0
Armamar;4137.0;73.0;900.0;0.0;0.0;0.0;0.0;0.0;0.0;226.0;0.0;0.0;0.0;2449.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;489.0;0.0;0.0;0.0;b>a>c>d>e;39.1;0.0;0.0;39.1;0.0;0.0;0.0;62358.0;34394.0;27964.0;102.0;3.0;0.0;8.0
Carrazeda de Ansi•À_es;4085.0;0.0;789.0;0.0;0.0;0.0;0.0;0.0;0.0;60.0;0.0;0.0;0.0;2615.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;621.0;0.0;0.0;0.0;b>a>c>d>e;36.3;0.0;0.0;36.3;0.0;0.0;0.0;83564.0;20387.0;63176.0;182.0;15.0;3.0;5.0
Freixo de Espada •À_ Cinta;2677.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;0.0;1357.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1295.0;0.0;0.0;0.0;a>b>c>d>e;50.1;0.0;0.0;50.1;0.0;0.0;0.0;18914.0;14001.0;4914.0;128.0;5.0;0.0;5.0
Lamego;14875.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;590.0;0.0;0.0;0.0;0.0;8548.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5737.0;0.0;0.0;0.0;a>b>c>d>e;52.7;0.0;0.0;42.7;0.0;0.0;10.0;277630.0;182388.0;95243.0;618.0;61.0;28.0;61.0
Mes•À_o Frio;2975.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;23.0;0.0;0.0;0.0;1090.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1838.0;0.0;0.0;0.0;b>a>c>d>e;49.4;0.0;0.0;30.9;0.0;0.0;18.3;48742.0;29776.0;18966.0;215.0;16.0;5.0;19.0
Moimenta da Beira;5902.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;169.0;0.0;0.0;0.0;0.0;1813.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3920.0;0.0;0.0;0.0;a>b>c>d>e;35.3;0.0;0.0;29.0;0.0;0.0;6.4;86253.0;53660.0;32593.0;216.0;15.0;3.0;31.0
Mur•À_a;4189.0;0.0;290.0;0.0;0.0;0.0;0.0;0.0;0.0;42.0;0.0;0.0;0.0;1877.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1980.0;0.0;0.0;0.0;b>a>c>d>e;42.3;0.0;0.0;42.3;0.0;0.0;0.0;32897.0;21795.0;11101.0;208.0;15.0;7.0;0.0
Penedono;1979.0;0.0;74.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;0.0;1238.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;642.0;0.0;0.0;0.0;b>a>c>d>e;77.1;0.0;0.0;38.9;0.0;0.0;35.0;19093.0;14242.0;4851.0;66.0;6.0;0.0;0.0
Peso da R•À_gua;9363.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;412.0;0.0;0.0;0.0;5587.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3364.0;0.0;0.0;0.0;a>b>c>d>e;81.9;0.0;0.0;75.2;0.0;0.0;6.6;152803.0;97967.0;54836.0;521.0;45.0;26.0;31.0
Sabrosa;4255.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;128.0;0.0;0.0;0.0;1632.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2495.0;0.0;0.0;0.0;a>b>c>d>e;109.3;0.0;0.0;60.8;2.9;0.0;42.3;39859.0;28526.0;11333.0;168.0;16.0;0.0;7.0
Santa Marta de Penagui•À_o;4903.0;0.0;176.0;0.0;0.0;0.0;0.0;0.0;0.0;82.0;0.0;0.0;0.0;1683.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2962.0;0.0;0.0;0.0;b>a>c>d>e;26.8;0.0;0.0;23.2;0.0;0.0;3.5;64763.0;46818.0;17946.0;159.0;5.0;0.0;0.0
S•À_o Jo•À_o da Pesqueira;4484.0;0.0;179.0;0.0;0.0;0.0;1661.0;0.0;0.0;77.0;0.0;0.0;0.0;2051.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;516.0;0.0;0.0;0.0;b>a>c>d>e;71.3;0.0;0.0;41.3;0.0;0.0;30.1;109562.0;40782.0;68781.0;141.0;15.0;3.0;5.0
Sernancelhe;4570.0;0.0;157.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;2499.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1898.0;0.0;0.0;0.0;b>a>c>d>e;46.1;0.0;0.0;36.0;0.0;0.0;10.2;42843.0;27169.0;15674.0;93.0;7.0;0.0;8.0
Tabua•À_o;4082.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;105.0;0.0;0.0;0.0;0.0;2089.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1888.0;0.0;0.0;0.0;a>b>c>d>e;53.1;0.0;0.0;53.1;0.0;0.0;0.0;70558.0;31910.0;38648.0;100.0;5.0;0.0;8.0
Tarouca;4604.0;188.0;206.0;0.0;0.0;0.0;0.0;0.0;0.0;76.0;0.0;0.0;0.0;2438.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1696.0;0.0;0.0;0.0;b>a>c>d>e;57.4;0.0;0.0;40.6;0.0;0.0;16.8;62531.0;50487.0;12044.0;172.0;16.0;6.0;16.0
Torre de Moncorvo;5921.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;197.0;0.0;0.0;0.0;0.0;3191.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2533.0;0.0;0.0;0.0;a>b>c>d>e;84.9;0.0;0.0;58.7;0.0;0.0;26.2;40416.0;29439.0;10978.0;344.0;21.0;0.0;4.0
Vila Nova de Foz C•À_a;4950.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;97.0;0.0;0.0;0.0;2763.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2090.0;0.0;0.0;0.0;a>b>c>d>e;103.2;0.0;0.0;103.2;0.0;0.0;0.0;38270.0;31255.0;7015.0;288.0;17.0;6.0;10.0
Vila Real;29217.0;612.0;1482.0;0.0;0.0;0.0;0.0;0.0;0.0;730.0;0.0;0.0;0.0;12926.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13467.0;0.0;0.0;0.0;b>a>c>d>e;11.9;0.0;0.0;7.1;0.0;0.0;4.8;767462.0;382455.0;385006.0;1307.0;113.0;35.0;42.0
Alf•À_ndega da F•À_;3803.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.0;0.0;0.0;0.0;0.0;1544.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2195.0;0.0;0.0;0.0;a>b>c>d>e;80.7;0.0;0.0;56.9;0.0;0.0;23.8;22917.0;17867.0;5050.0;172.0;7.0;0.0;0.0
Bragan•À_a;18986.0;207.0;413.0;0.0;0.0;0.0;3308.0;0.0;0.0;405.0;0.0;0.0;0.0;9449.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5204.0;0.0;0.0;0.0;b>a>c>d>e;71.8;0.0;0.0;66.7;0.0;0.0;5.2;519003.0;323771.0;195231.0;1222.0;90.0;49.0;113.0
Macedo de Cavaleiros;10707.0;0.0;1308.0;0.0;0.0;0.0;0.0;0.0;0.0;192.0;0.0;0.0;0.0;4663.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4544.0;0.0;0.0;0.0;b>a>c>d>e;50.0;0.0;0.0;39.9;0.0;0.0;10.1;121868.0;83400.0;38468.0;518.0;30.0;13.0;33.0
Miranda do Douro;5294.0;34.0;0.0;0.0;92.0;0.0;0.0;0.0;0.0;36.0;0.0;0.0;0.0;2346.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2786.0;0.0;0.0;0.0;d>a>b>c>e;240.9;0.0;0.0;195.9;0.0;0.0;45.0;57741.0;34873.0;22869.0;230.0;25.0;6.0;4.0
Mirandela;12403.0;201.0;2567.0;0.0;0.0;0.0;0.0;0.0;0.0;451.0;0.0;0.0;0.0;6376.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2808.0;0.0;0.0;0.0;b>a>c>d>e;111.5;0.0;0.0;96.7;0.0;0.0;14.9;258717.0;160308.0;98409.0;753.0;49.0;16.0;41.0
Mogadouro;7092.0;0.0;148.0;0.0;0.0;0.0;0.0;0.0;0.0;56.0;0.0;0.0;0.0;3439.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3449.0;0.0;0.0;0.0;b>a>c>d>e;108.6;0.0;0.0;66.6;0.0;0.0;42.0;59235.0;36670.0;22566.0;222.0;9.0;5.0;5.0
Vila Flor;4522.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;191.0;0.0;0.0;0.0;0.0;1615.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2716.0;0.0;0.0;0.0;a>b>c>d>e;84.7;0.0;0.0;48.4;0.0;0.0;36.2;24301.0;17949.0;6352.0;217.0;12.0;11.0;3.0
Vimioso;3637.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.0;0.0;0.0;0.0;2232.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1369.0;0.0;0.0;0.0;a>b>c>d>e;102.2;0.0;0.0;63.6;0.0;0.0;38.6;24073.0;17210.0;6863.0;252.0;13.0;5.0;13.0
Vinhais;6744.0;0.0;0.0;0.0;0.0;2426.0;0.0;0.0;0.0;111.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4207.0;0.0;0.0;0.0;e>a>b>c>d;109.6;0.0;0.0;47.9;0.0;0.0;61.7;41995.0;26626.0;15369.0;222.0;5.0;0.0;8.0
Alcoba•À_a;23447.0;566.0;4649.0;0.0;0.0;0.0;0.0;0.0;0.0;3176.0;0.0;0.0;245.0;9564.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5247.0;0.0;0.0;0.0;b>a>c>d>e;58.1;0.0;0.0;40.5;0.0;0.0;17.2;598200.0;346741.0;251458.0;1821.0;87.0;149.0;171.0
Alenquer;16432.0;1128.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2918.0;0.0;0.0;0.0;0.0;0.0;0.0;4991.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7395.0;0.0;0.0;0.0;a>b>c>d>e;58.4;0.0;0.0;53.1;0.0;0.0;5.3;352221.0;244837.0;107384.0;1139.0;64.0;73.0;75.0
Arruda dos Vinhos;5779.0;0.0;184.0;0.0;0.0;0.0;0.0;0.0;0.0;529.0;0.0;0.0;0.0;2149.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2917.0;0.0;0.0;0.0;b>a>c>d>e;40.5;0.0;0.0;40.5;0.0;0.0;0.0;135050.0;78765.0;56286.0;351.0;18.0;22.0;29.0
Bombarral;5573.0;0.0;712.0;0.0;0.0;0.0;0.0;0.0;0.0;779.0;0.0;0.0;0.0;2469.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1613.0;0.0;0.0;0.0;b>a>c>d>e;44.9;0.0;0.0;44.9;0.0;0.0;0.0;135950.0;80471.0;55479.0;387.0;40.0;19.0;43.0
Cadaval;6995.0;0.0;0.0;0.0;211.0;0.0;0.0;0.0;0.0;360.0;0.0;0.0;0.0;3322.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3102.0;0.0;0.0;0.0;d>a>b>c>e;29.7;0.0;0.0;19.5;0.0;0.0;10.2;104793.0;64719.0;40074.0;479.0;16.0;17.0;69.0
Caldas da Rainha;19583.0;602.0;1962.0;0.0;0.0;0.0;1863.0;0.0;0.0;1089.0;0.0;0.0;0.0;9216.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4851.0;0.0;0.0;0.0;b>a>c>d>e;28.8;0.0;0.0;28.3;0.0;0.0;0.5;746445.0;465446.0;281000.0;1929.0;32.0;160.0;143.0
Lourinh•À_;11284.0;234.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;433.0;0.0;0.0;0.0;0.0;5040.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5577.0;0.0;0.0;0.0;a>b>c>d>e;32.9;0.0;0.0;28.7;0.0;0.0;4.3;196575.0;115466.0;81110.0;702.0;31.0;37.0;65.0
Nazar•À_;6900.0;172.0;194.0;0.0;0.0;0.0;1311.0;430.0;0.0;453.0;0.0;0.0;0.0;1657.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2683.0;0.0;0.0;0.0;b>a>c>d>e;42.2;0.0;0.0;42.2;0.0;0.0;0.0;133793.0;95569.0;38224.0;649.0;29.0;107.0;58.0
•À_bidos;5426.0;0.0;194.0;0.0;0.0;0.0;0.0;0.0;0.0;387.0;0.0;0.0;0.0;2511.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2334.0;0.0;0.0;0.0;b>a>c>d>e;87.1;0.0;0.0;87.1;0.0;0.0;0.0;119184.0;87136.0;32047.0;412.0;5.0;106.0;41.0
Peniche;10154.0;218.0;229.0;0.0;0.0;0.0;0.0;0.0;0.0;4535.0;0.0;0.0;0.0;2512.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2660.0;0.0;0.0;0.0;b>a>c>d>e;59.7;0.0;0.0;59.7;0.0;0.0;0.0;311398.0;197709.0;113689.0;1122.0;21.0;188.0;98.0
Sobral de Monte Agra•À_o;4402.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2244.0;0.0;0.0;0.0;0.0;851.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1307.0;0.0;0.0;0.0;a>b>c>d>e;51.0;0.0;0.0;42.8;0.0;0.0;8.1;115680.0;81759.0;33921.0;329.0;13.0;7.0;27.0
Torres Vedras;31635.0;670.0;0.0;0.0;1541.0;0.0;1184.0;0.0;0.0;2914.0;0.0;0.0;162.0;6707.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18457.0;0.0;0.0;0.0;d>a>b>c>e;32.8;0.1;0.0;26.5;1.2;0.0;5.1;1215814.0;610634.0;605180.0;2064.0;123.0;146.0;150.0
•À_gueda;21916.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;910.0;0.0;0.0;0.0;0.0;6899.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14107.0;0.0;0.0;0.0;a>b>c>d>e;23.0;0.0;0.0;17.9;0.0;0.0;3.3;581969.0;307773.0;274196.0;1657.0;103.0;69.0;123.0
Albergaria-a-Velha;12447.0;203.0;5701.0;0.0;0.0;0.0;0.0;0.0;0.0;379.0;0.0;0.0;0.0;4857.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1307.0;0.0;0.0;0.0;b>a>c>d>e;24.4;0.0;0.0;24.4;0.0;0.0;0.0;216216.0;147996.0;68220.0;844.0;43.0;38.0;38.0
Anadia;14383.0;0.0;556.0;0.0;0.0;0.0;6377.0;0.0;0.0;476.0;0.0;0.0;0.0;4846.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2128.0;0.0;0.0;0.0;b>a>c>d>e;29.7;0.0;0.0;19.2;0.0;0.0;6.3;210265.0;122568.0;87696.0;785.0;43.0;19.0;29.0
Aveiro;31529.0;1366.0;0.0;0.0;0.0;0.0;3480.0;0.0;0.0;1259.0;235.0;0.0;123.0;0.0;0.0;0.0;0.0;16694.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8372.0;0.0;0.0;0.0;a>b>c>d>e;8.1;0.0;0.0;2.2;0.0;0.0;5.5;1942722.0;809213.0;1133509.0;2614.0;106.0;182.0;116.0
Estarreja;11411.0;0.0;0.0;0.0;0.0;0.0;978.0;0.0;0.0;1017.0;0.0;0.0;0.0;0.0;5253.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4163.0;0.0;0.0;0.0;a>b>c>d>e;84.0;0.0;0.0;45.3;0.0;0.0;36.9;195624.0;118130.0;77494.0;1018.0;70.0;54.0;82.0
•À_lhavo;12868.0;598.0;1125.0;0.0;0.0;0.0;0.0;0.0;0.0;719.0;0.0;0.0;0.0;6354.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4072.0;0.0;0.0;0.0;b>a>c>d>e;45.0;0.0;0.0;42.8;0.0;0.0;2.0;265521.0;196877.0;68644.0;1330.0;63.0;88.0;121.0
Murtosa;4620.0;0.0;275.0;0.0;0.0;0.0;0.0;0.0;0.0;114.0;0.0;0.0;0.0;3441.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;0.0;0.0;0.0;b>a>c>d>e;30.8;0.0;0.0;30.8;0.0;0.0;0.0;64310.0;46427.0;17882.0;371.0;28.0;34.0;13.0
Oliveira do Bairro;10116.0;0.0;4068.0;0.0;0.0;0.0;0.0;0.0;0.0;309.0;0.0;0.0;0.0;4799.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;940.0;0.0;0.0;0.0;b>a>c>d>e;46.2;0.0;0.0;42.9;0.0;0.0;3.4;213439.0;157365.0;56074.0;924.0;54.0;24.0;66.0
Ovar;23679.0;1218.0;753.0;0.0;0.0;0.0;0.0;0.0;0.0;1535.0;0.0;0.0;0.0;11202.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8971.0;0.0;0.0;0.0;a>b>c>d>e;55.5;0.0;0.0;44.6;0.0;0.1;10.8;543322.0;292982.0;250341.0;1863.0;152.0;87.0;136.0
Sever do Vouga;7339.0;0.0;670.0;0.0;0.0;0.0;0.0;0.0;0.0;160.0;0.0;0.0;0.0;2916.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3593.0;0.0;0.0;0.0;b>a>c>d>e;30.5;0.0;0.0;18.1;0.0;0.0;12.4;106875.0;78119.0;28757.0;362.0;34.0;12.0;15.0
Vagos;11232.0;0.0;3903.0;0.0;0.0;0.0;0.0;0.0;0.0;238.0;0.0;0.0;0.0;5760.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1331.0;0.0;0.0;0.0;b>a>c>d>e;17.7;0.0;0.0;17.7;0.0;0.0;0.0;144254.0;78531.0;65723.0;563.0;36.0;20.0;64.0
Arganil;6458.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;407.0;0.0;0.0;0.0;3965.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2086.0;0.0;0.0;0.0;a>b>c>d>e;19.9;0.0;0.0;19.9;0.0;0.0;0.0;69990.0;41162.0;28828.0;354.0;25.0;15.0;23.0
Cantanhede;17629.0;0.0;337.0;0.0;0.0;0.0;0.0;0.0;0.0;627.0;0.0;0.0;0.0;11293.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5372.0;0.0;0.0;0.0;b>a>c>d>e;14.1;0.0;0.0;6.4;0.0;0.0;7.7;346901.0;191465.0;155436.0;1052.0;77.0;48.0;77.0
Coimbra;58506.0;0.0;2492.0;0.0;0.0;0.0;5906.0;0.0;925.0;7078.0;528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18946.0;0.0;0.0;0.0;0.0;22631.0;0.0;0.0;0.0;b>a>c>d>e;42.7;0.0;0.0;39.6;0.0;0.0;3.1;2888833.0;1444964.0;1443870.0;5182.0;385.0;426.0;302.0
Condeixa-a-Nova;7037.0;625.0;136.0;0.0;0.0;0.0;0.0;0.0;0.0;526.0;0.0;0.0;0.0;1935.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3815.0;0.0;0.0;0.0;a>b>c>d>e;26.9;0.0;0.0;26.9;0.0;0.0;0.0;152315.0;118479.0;33837.0;420.0;38.0;55.0;15.0
Figueira da Foz;25313.0;885.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2189.0;310.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8918.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13011.0;0.0;0.0;0.0;a>b>c>d>e;54.2;0.0;0.0;38.6;0.0;0.0;14.5;631098.0;440288.0;190810.0;1762.0;152.0;138.0;115.0
G•À_is;2546.0;0.0;85.0;0.0;0.0;0.0;1143.0;0.0;0.0;31.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1287.0;0.0;0.0;0.0;b>a>c>d>e;145.9;0.0;0.0;46.8;0.0;0.0;99.0;0.0;0.0;0.0;138.0;3.0;6.0;13.0
Lous•À_;7500.0;343.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;316.0;0.0;0.0;0.0;0.0;1442.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5399.0;0.0;0.0;0.0;a>b>c>d>e;112.2;0.0;0.0;52.7;0.0;0.0;59.6;140905.0;103016.0;37889.0;515.0;33.0;41.0;28.0
Mealhada;8854.0;165.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;751.0;0.0;0.0;0.0;0.0;0.0;0.0;3475.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4463.0;0.0;0.0;0.0;a>b>c>d>e;21.1;0.0;0.0;21.1;0.0;0.0;0.0;210003.0;129475.0;80528.0;504.0;29.0;37.0;21.0
Mira;7106.0;0.0;67.0;0.0;0.0;0.0;866.0;0.0;0.0;87.0;0.0;0.0;0.0;3086.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3000.0;0.0;0.0;0.0;b>a>c>d>e;91.4;0.0;0.0;48.2;0.0;0.0;26.8;69071.0;41718.0;27353.0;366.0;30.0;29.0;35.0
Miranda do Corvo;6600.0;136.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;583.0;0.0;0.0;0.0;0.0;2583.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3298.0;0.0;0.0;0.0;a>b>c>d>e;23.3;0.0;0.0;18.2;0.0;0.0;5.1;87444.0;65440.0;22004.0;285.0;27.0;6.0;25.0
