Regions;Votes Total;BE;CDS-PP;CDS-PP-MPT;CDS-PP-MPT-PPM;CDS-PP-PPD/PSD;Grupo de cidad‹os;MPT;PAN;PCP-PEV;PCTP/MRPP;PND;PNR;PPD/PSD;PPD/PSD-CDS-PP;PPD/PSD-CDS-PP-MPT;PPD/PSD-CDS-PP-MPT-PPM;PPD/PSD-CDS-PP-PPM;PPD/PSD-CDS-PP-PPM-MPT;PPD/PSD-MPT;PPD/PSD-MPT-PPM;PPD/PSD-PPM;PPD/PSD-PPM-MPT;PPM;PPM-PPV;PPM-PPV-PND;PPV;PS;PS-BE-PND-MPT-PTP-PAN;PS-PTP-PND-BE;PTP;Ranking;Voters Total;Voters Voting;Voters Abstention;Residents Total;Residents 0-14;Residents 15-64;Residents 65+;Population without Education;Population with High School;Companies Created;Average Monthly Income;Employees per Sector Total;Employees per Sector Agriculture;Employees per Sector Extraction Industries;Employees per Sector Transformation Industries;Employees per Sector Construction;Employees per Sector Gross and Retails Markets;Employees per Sector Administration and Services;Employees per Economic Sector Banks;Employees per Economic Sector Others;Companies Dissolved;Unemployment Total;Unemployment <25
Arcos de Valdevez;13872.0;0.0;1687.0;0.0;0.0;0.0;0.0;0.0;0.0;478.0;0.0;0.0;0.0;7837.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3870.0;0.0;0.0;0.0;b>a>c>d>e;28978.0;14747.0;14231.0;22284.0;2469.0;12831.0;6984.0;5060.0;2038.0;40.0;666.4;4793.0;656.0;0.0;1181.0;766.0;920.0;155.0;52.0;0.0;17.0;1179.8;201.2
Caminha;10573.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;442.0;0.0;0.0;0.0;4930.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5201.0;0.0;0.0;0.0;a>b>c>d>e;17059.0;10948.0;6111.0;16465.0;1965.0;10659.0;3842.0;1641.0;2284.0;39.0;737.5;3921.0;267.0;0.0;378.0;610.0;925.0;351.0;46.0;0.0;16.0;963.0;98.3
Melgaço;4855.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;129.0;0.0;0.0;0.0;1462.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3264.0;0.0;0.0;0.0;a>b>c>d>e;11966.0;5175.0;6791.0;8874.0;813.0;4840.0;3221.0;1892.0;887.0;8.0;666.0;1709.0;493.0;0.0;210.0;208.0;313.0;52.0;25.0;0.0;2.0;250.6;49.1
Monç‹o;11909.0;0.0;2221.0;0.0;0.0;0.0;0.0;0.0;0.0;206.0;0.0;0.0;0.0;4739.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4743.0;0.0;0.0;0.0;b>a>c>d>e;21108.0;12496.0;8612.0;18931.0;1963.0;11621.0;5347.0;3163.0;2292.0;39.0;655.2;4993.0;1042.0;66.0;735.0;801.0;985.0;220.0;41.0;0.0;19.0;727.2;124.2
Paredes de Coura;6090.0;0.0;131.0;0.0;0.0;0.0;0.0;0.0;0.0;272.0;0.0;0.0;0.0;2308.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3379.0;0.0;0.0;0.0;b>a>c>d>e;9652.0;6328.0;3324.0;9039.0;1093.0;5488.0;2458.0;1690.0;923.0;11.0;639.4;1595.0;177.0;0.0;288.0;238.0;295.0;172.0;19.0;0.0;9.0;613.9;102.9
Ponte da Barca;8309.0;0.0;0.0;0.0;0.0;0.0;1438.0;0.0;0.0;132.0;0.0;0.0;0.0;2148.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4591.0;0.0;0.0;0.0;a>b>c>d>e;14497.0;8653.0;5844.0;11829.0;1499.0;7530.0;2800.0;1989.0;1282.0;28.0;677.8;2251.0;301.0;10.0;218.0;597.0;378.0;103.0;30.0;0.0;12.0;798.5;151.0
Ponte de Lima;26276.0;0.0;14982.0;0.0;0.0;0.0;3325.0;0.0;0.0;1035.0;0.0;0.0;0.0;4374.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2560.0;0.0;0.0;0.0;b>a>c>d>e;43131.0;27591.0;15540.0;43151.0;6351.0;28194.0;8607.0;5406.0;4399.0;115.0;644.2;11294.0;1049.0;0.0;2762.0;2397.0;2177.0;470.0;76.0;12.0;32.0;2443.8;343.2
Valença;8042.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;339.0;0.0;0.0;0.0;4871.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2832.0;0.0;0.0;0.0;a>b>c>d>e;13835.0;8382.0;5453.0;13869.0;1765.0;8996.0;3108.0;1454.0;1698.0;66.0;708.8;4626.0;186.0;32.0;1297.0;374.0;1446.0;201.0;63.0;0.0;28.0;878.8;144.1
Viana do Castelo;42848.0;0.0;0.0;1991.0;0.0;0.0;0.0;0.0;650.0;4919.0;744.0;0.0;0.0;12361.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22183.0;0.0;0.0;0.0;c>a>b>d>e;87336.0;46539.0;40797.0;87570.0;11794.0;58413.0;17363.0;7975.0;11702.0;243.0;784.6;25129.0;800.0;73.0;6694.0;4048.0;4768.0;1599.0;242.0;41.0;122.0;5607.8;753.2
Vila Nova de Cerveira;5980.0;0.0;0.0;0.0;0.0;0.0;2807.0;0.0;0.0;78.0;0.0;0.0;0.0;570.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2525.0;0.0;0.0;0.0;a>b>c>d>e;9040.0;6221.0;2819.0;9138.0;1205.0;5899.0;2035.0;1161.0;1130.0;22.0;776.9;3570.0;104.0;0.0;1830.0;251.0;334.0;159.0;24.0;0.0;23.0;431.6;70.3
Amares;11377.0;0.0;0.0;0.0;0.0;0.0;3644.0;0.0;0.0;398.0;0.0;0.0;0.0;0.0;2907.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4428.0;0.0;0.0;0.0;a>b>c>d>e;19615.0;11987.0;7628.0;18635.0;2868.0;12700.0;3068.0;1847.0;2316.0;36.0;654.9;3993.0;224.0;0.0;650.0;795.0;846.0;236.0;0.0;15.0;12.0;1532.1;207.0
Barcelos;71209.0;1437.0;0.0;0.0;0.0;0.0;7589.0;0.0;0.0;1225.0;592.0;0.0;0.0;0.0;0.0;0.0;0.0;26061.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34305.0;0.0;0.0;0.0;a>b>c>d>e;107846.0;74534.0;33312.0;119824.0;18376.0;84200.0;17249.0;9333.0;12261.0;397.0;686.8;42569.0;1823.0;32.0;20791.0;5052.0;7317.0;1506.0;222.0;20.0;164.0;6514.9;1070.5
Braga;90617.0;0.0;0.0;0.0;0.0;0.0;5072.0;0.0;0.0;8355.0;1293.0;0.0;0.0;0.0;0.0;0.0;0.0;44571.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31326.0;0.0;0.0;0.0;a>b>c>d>e;159313.0;95417.0;63896.0;181979.0;28878.0;128376.0;24725.0;10441.0;26282.0;768.0;826.4;60419.0;0.0;143.0;12660.0;8705.0;12474.0;3463.0;609.0;43.0;297.0;14454.8;1642.5
Esposende;17663.0;0.0;2013.0;0.0;0.0;0.0;0.0;0.0;0.0;1001.0;0.0;0.0;0.0;10711.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3938.0;0.0;0.0;0.0;b>a>c>d>e;33634.0;18960.0;14674.0;34268.0;5538.0;23719.0;5011.0;2736.0;3881.0;106.0;695.4;10634.0;561.0;45.0;3194.0;2149.0;1782.0;492.0;73.0;0.0;43.0;1820.4;275.2
Terras de Bouro;5204.0;0.0;0.0;0.0;0.0;0.0;177.0;299.0;0.0;419.0;0.0;0.0;0.0;0.0;1555.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2754.0;0.0;0.0;0.0;a>b>c>d>e;7821.0;5358.0;2463.0;6929.0;836.0;4385.0;1708.0;1019.0;769.0;5.0;747.3;1242.0;0.0;0.0;91.0;164.0;233.0;38.0;0.0;0.0;3.0;499.8;81.3
Vila Verde;27776.0;0.0;1104.0;0.0;0.0;0.0;0.0;0.0;0.0;629.0;0.0;0.0;0.0;13418.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12625.0;0.0;0.0;0.0;b>a>c>d>e;47920.0;29168.0;18752.0;47838.0;7657.0;31874.0;8307.0;5661.0;5100.0;138.0;675.7;10903.0;565.0;0.0;2469.0;2860.0;2334.0;371.0;89.0;25.0;45.0;2964.0;427.8
Cabeceiras de Basto;10968.0;0.0;0.0;0.0;0.0;0.0;4535.0;0.0;0.0;107.0;0.0;0.0;0.0;0.0;1355.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4971.0;0.0;0.0;0.0;a>b>c>d>e;17116.0;11264.0;5852.0;16442.0;2531.0;10870.0;3042.0;2282.0;1620.0;49.0;627.5;3154.0;321.0;0.0;571.0;665.0;712.0;105.0;36.0;0.0;13.0;1488.3;282.8
Fafe;30070.0;0.0;423.0;0.0;0.0;0.0;11008.0;0.0;0.0;928.0;0.0;0.0;0.0;6688.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11023.0;0.0;0.0;0.0;b>a>c>d>e;50879.0;31361.0;19518.0;50097.0;7283.0;34549.0;8265.0;4981.0;4792.0;180.0;621.6;14043.0;114.0;0.0;5968.0;1822.0;2531.0;675.0;88.0;0.0;56.0;4039.2;648.4
Guimar‹es;83282.0;1788.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7285.0;496.0;0.0;0.0;0.0;0.0;31174.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;856.0;0.0;0.0;41683.0;0.0;0.0;0.0;a>b>c>d>e;144632.0;87548.0;57084.0;156762.0;23066.0;111407.0;22290.0;12043.0;17593.0;582.0;705.6;59270.0;569.0;179.0;31605.0;3293.0;10502.0;2052.0;368.0;0.0;194.0;13287.5;1507.8
Mondim de Basto;4961.0;0.0;0.0;0.0;0.0;1890.0;0.0;0.0;0.0;34.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3008.0;0.0;0.0;0.0;e>a>b>c>d;8640.0;5081.0;3559.0;7357.0;995.0;4808.0;1555.0;1246.0;648.0;16.0;620.6;1398.0;0.0;104.0;180.0;168.0;339.0;51.0;14.0;0.0;8.0;548.8;106.8
P—voa de Lanhoso;14789.0;0.0;646.0;0.0;0.0;0.0;0.0;0.0;0.0;209.0;0.0;0.0;0.0;7790.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6144.0;0.0;0.0;0.0;b>a>c>d>e;24260.0;15259.0;9001.0;21867.0;3295.0;14793.0;3779.0;2692.0;2092.0;56.0;638.8;5552.0;209.0;42.0;1831.0;757.0;914.0;562.0;46.0;0.0;18.0;1467.9;201.6
Vieira do Minho;9771.0;69.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;134.0;0.0;0.0;0.0;0.0;5003.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4565.0;0.0;0.0;0.0;a>b>c>d>e;14912.0;10064.0;4848.0;12651.0;1653.0;8189.0;2810.0;1804.0;1334.0;21.0;705.4;2013.0;176.0;0.0;178.0;373.0;468.0;146.0;20.0;0.0;8.0;973.7;135.6
Vila Nova de Famalic‹o;73039.0;1237.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2823.0;0.0;0.0;0.0;0.0;44712.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24267.0;0.0;0.0;0.0;a>b>c>d>e;118128.0;76366.0;41762.0;133843.0;20263.0;94290.0;19290.0;9573.0;15972.0;458.0;774.5;48402.0;732.0;26.0;23249.0;4029.0;8815.0;2242.0;280.0;40.0;151.0;10391.7;1254.2
Vizela;12175.0;406.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;616.0;0.0;0.0;0.0;0.0;5046.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6107.0;0.0;0.0;0.0;a>b>c>d>e;20718.0;12762.0;7956.0;23856.0;3676.0;17339.0;2841.0;1947.0;2355.0;80.0;623.2;7860.0;0.0;0.0;5045.0;341.0;1034.0;220.0;53.0;0.0;28.0;1808.0;204.3
Arouca;13295.0;0.0;726.0;0.0;0.0;0.0;0.0;0.0;0.0;390.0;0.0;0.0;0.0;3931.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8248.0;0.0;0.0;0.0;b>a>c>d>e;20909.0;13867.0;7042.0;21877.0;3225.0;14667.0;3985.0;2537.0;1943.0;41.0;655.4;6315.0;697.0;22.0;2051.0;1212.0;975.0;260.0;40.0;0.0;23.0;1034.5;185.8
Espinho;17873.0;641.0;460.0;0.0;0.0;0.0;0.0;0.0;0.0;1191.0;0.0;0.0;0.0;8993.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6588.0;0.0;0.0;0.0;a>b>c>d>e;30806.0;19044.0;11762.0;30674.0;3808.0;20252.0;6615.0;2719.0;3867.0;86.0;762.0;7786.0;39.0;0.0;1433.0;379.0;1788.0;550.0;105.0;0.0;42.0;3408.1;459.9
Gondomar;61370.0;2605.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8850.0;0.0;0.0;0.0;0.0;16114.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33801.0;0.0;0.0;0.0;a>b>c>d>e;144199.0;72824.0;71375.0;167771.0;24504.0;116588.0;26679.0;11149.0;23336.0;372.0;749.9;30483.0;352.0;0.0;6585.0;2324.0;8520.0;2662.0;238.0;0.0;169.0;16703.3;2136.7
Maia;51052.0;3412.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4413.0;0.0;0.0;0.0;0.0;28629.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14598.0;0.0;0.0;0.0;a>b>c>d>e;112082.0;57086.0;54996.0;135971.0;22043.0;94274.0;19655.0;6634.0;20416.0;539.0;975.6;57304.0;412.0;15.0;13638.0;3611.0;12012.0;9633.0;341.0;0.0;214.0;11617.4;1244.4
Matosinhos;67445.0;2623.0;1409.0;0.0;0.0;0.0;32014.0;0.0;0.0;5396.0;0.0;0.0;0.0;6869.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18629.0;0.0;0.0;505.0;a>b>c>d>e;150242.0;73754.0;76488.0;175006.0;24472.0;120336.0;30199.0;11185.0;24602.0;702.0;951.8;82426.0;740.0;0.0;8552.0;3783.0;36690.0;9435.0;436.0;5.0;571.0;13237.2;1330.3
Oliveira de Azem_is;32123.0;702.0;2532.0;0.0;0.0;0.0;0.0;0.0;0.0;977.0;0.0;0.0;0.0;14298.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13614.0;0.0;0.0;0.0;b>a>c>d>e;61272.0;34414.0;26858.0;67971.0;8857.0;46770.0;12344.0;5420.0;7358.0;199.0;805.1;26548.0;385.0;51.0;15876.0;1401.0;3379.0;1620.0;142.0;19.0;57.0;3246.1;463.1
Paredes;43739.0;816.0;1721.0;0.0;0.0;0.0;0.0;0.0;0.0;2983.0;0.0;0.0;0.0;19146.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19073.0;0.0;0.0;0.0;b>a>c>d>e;72323.0;46589.0;25734.0;86948.0;15050.0;61399.0;10500.0;6763.0;8205.0;217.0;678.7;21619.0;0.0;0.0;9523.0;2018.0;4483.0;778.0;184.0;18.0;68.0;8583.3;1193.7
Porto;110596.0;4166.0;0.0;0.0;0.0;0.0;46666.0;0.0;0.0;8539.0;343.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24366.0;0.0;0.0;0.0;0.0;26237.0;0.0;0.0;279.0;a>b>c>d>e;219949.0;115698.0;104251.0;224894.0;27470.0;140428.0;56996.0;13814.0;32936.0;1574.0;1089.2;117903.0;1074.0;12.0;8802.0;13022.0;24315.0;11670.0;4602.0;11.0;1356.0;21335.0;2332.1
P—voa de Varzim;27560.0;670.0;4021.0;0.0;0.0;0.0;0.0;0.0;0.0;1054.0;344.0;0.0;0.0;13567.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7904.0;0.0;0.0;0.0;b>a>c>d>e;60035.0;29485.0;30550.0;63141.0;10136.0;43420.0;9585.0;4357.0;7441.0;214.0;734.6;18838.0;1591.0;27.0;3723.0;1745.0;4496.0;876.0;149.0;47.0;160.0;4429.3;634.3
Santa Maria da Feira;64006.0;2792.0;2675.0;0.0;0.0;0.0;0.0;0.0;0.0;2955.0;0.0;0.0;0.0;31019.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24565.0;0.0;0.0;0.0;a>b>c>d>e;125741.0;69667.0;56074.0;140052.0;20891.0;97466.0;21696.0;10799.0;15581.0;438.0;812.1;44944.0;294.0;0.0;20868.0;3823.0;8598.0;2643.0;312.0;14.0;182.0;9783.7;1337.1
Santo Tirso;37391.0;0.0;1409.0;0.0;0.0;0.0;2552.0;0.0;0.0;2455.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13051.0;0.0;0.0;0.0;0.0;0.0;17924.0;0.0;0.0;0.0;b>a>c>d>e;64247.0;39867.0;24380.0;70737.0;9125.0;48838.0;12775.0;5920.0;7599.0;175.0;723.1;20529.0;211.0;29.0;10695.0;1233.0;3963.0;625.0;131.0;0.0;63.0;7025.3;892.7
S‹o Jo‹o da Madeira;9462.0;225.0;296.0;0.0;0.0;0.0;1000.0;0.0;0.0;620.0;0.0;0.0;0.0;3808.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3513.0;0.0;0.0;0.0;b>a>c>d>e;20324.0;10016.0;10308.0;21655.0;3032.0;15032.0;3592.0;1285.0;3037.0;88.0;802.1;12580.0;19.0;0.0;7456.0;188.0;2017.0;560.0;107.0;0.0;36.0;1430.5;203.4
Trofa;21100.0;470.0;0.0;0.0;0.0;0.0;437.0;0.0;0.0;809.0;0.0;0.0;0.0;0.0;10092.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9292.0;0.0;0.0;0.0;a>b>c>d>e;33444.0;22397.0;11047.0;38743.0;5657.0;27576.0;5510.0;2644.0;4714.0;132.0;814.4;15303.0;0.0;0.0;6507.0;1181.0;3234.0;904.0;99.0;0.0;32.0;4042.3;547.8
Vale de Cambra;13080.0;0.0;6382.0;0.0;0.0;0.0;0.0;0.0;0.0;397.0;0.0;0.0;0.0;4683.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1618.0;0.0;0.0;0.0;b>a>c>d>e;22358.0;13884.0;8474.0;22439.0;2710.0;14843.0;4887.0;2458.0;2505.0;43.0;872.1;8086.0;176.0;0.0;4761.0;474.0;1066.0;200.0;58.0;0.0;30.0;864.8;130.0
Valongo;37420.0;1797.0;1056.0;0.0;0.0;0.0;0.0;0.0;0.0;3426.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15132.0;0.0;0.0;0.0;0.0;0.0;16009.0;0.0;0.0;0.0;a>b>c>d>e;80945.0;41186.0;39759.0;95004.0;15169.0;66231.0;13604.0;5562.0;12981.0;255.0;761.1;20274.0;279.0;78.0;4557.0;2368.0;5072.0;2366.0;174.0;0.0;93.0;9294.1;1254.4
Vila do Conde;36466.0;983.0;1223.0;0.0;0.0;0.0;0.0;0.0;0.0;2009.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14042.0;0.0;0.0;0.0;0.0;0.0;18209.0;0.0;0.0;0.0;b>a>c>d>e;69418.0;38994.0;30424.0;79774.0;12482.0;54869.0;12424.0;5488.0;9091.0;257.0;831.8;24651.0;2377.0;23.0;7518.0;2684.0;5458.0;879.0;139.0;19.0;274.0;5740.8;777.8
Vila Nova de Gaia;127158.0;4266.0;0.0;0.0;0.0;0.0;29797.0;0.0;0.0;8876.0;2087.0;0.0;0.0;0.0;27813.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53146.0;0.0;0.0;1173.0;a>b>c>d>e;261037.0;139300.0;121737.0;302989.0;45501.0;208673.0;48815.0;18851.0;41476.0;945.0;874.4;73976.0;875.0;23.0;19536.0;5532.0;15839.0;6026.0;568.0;28.0;574.0;33342.4;3998.3
Boticas;4051.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;392.0;0.0;0.0;0.0;2748.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;911.0;0.0;0.0;0.0;a>b>c>d>e;7762.0;4252.0;3510.0;5540.0;539.0;3276.0;1725.0;1269.0;475.0;7.0;636.0;1000.0;266.0;63.0;159.0;130.0;177.0;35.0;0.0;0.0;4.0;331.4;37.8
Chaves;23163.0;0.0;780.0;0.0;0.0;0.0;3706.0;0.0;0.0;1547.0;0.0;0.0;0.0;9767.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7363.0;0.0;0.0;0.0;b>a>c>d>e;46095.0;24785.0;21310.0;40788.0;4714.0;25924.0;10150.0;4900.0;5326.0;92.0;712.5;8598.0;750.0;61.0;993.0;931.0;2252.0;277.0;97.0;9.0;45.0;2656.5;347.8
Montalegre;7918.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.0;0.0;0.0;0.0;0.0;2873.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4913.0;0.0;0.0;0.0;a>b>c>d>e;15201.0;8345.0;6856.0;10049.0;883.0;5823.0;3344.0;2193.0;951.0;15.0;659.3;1846.0;685.0;0.0;151.0;176.0;328.0;55.0;30.0;0.0;13.0;439.6;68.0
Ribeira de Pena;5050.0;0.0;99.0;0.0;0.0;0.0;273.0;145.0;0.0;45.0;0.0;0.0;0.0;1866.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2622.0;0.0;0.0;0.0;b>a>c>d>e;8807.0;5199.0;3608.0;6383.0;810.0;3938.0;1636.0;1468.0;499.0;4.0;688.9;1126.0;0.0;0.0;83.0;330.0;131.0;36.0;11.0;0.0;5.0;489.1;80.0
Valpaços;11079.0;0.0;262.0;0.0;0.0;0.0;0.0;0.0;0.0;198.0;0.0;0.0;0.0;7295.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3324.0;0.0;0.0;0.0;b>a>c>d>e;21152.0;11674.0;9478.0;16252.0;1592.0;9420.0;5241.0;3478.0;1332.0;27.0;639.6;3905.0;1785.0;43.0;229.0;479.0;620.0;111.0;40.0;8.0;12.0;980.7;145.6
