;Total;BE;CDS-PP;CDS-PP-MPT;CDS-PP-MPT-PPM;CDS-PP-PPD/PSD;Grupo de cidadãos;MPT;PAN;PCP-PEV;PCTP/MRPP;PND;PNR;PPD/PSD;PPD/PSD-CDS-PP;PPD/PSD-CDS-PP-MPT;PPD/PSD-CDS-PP-MPT-PPM;PPD/PSD-CDS-PP-PPM;PPD/PSD-CDS-PP-PPM-MPT;PPD/PSD-MPT;PPD/PSD-MPT-PPM;PPD/PSD-PPM;PPD/PSD-PPM-MPT;PPM;PPM-PPV;PPM-PPV-PND;PPV;PS;PS-BE-PND-MPT-PTP-PAN;PS-PTP-PND-BE;PTP;Total;Violência doméstica contra cônjuge ou análogos;Furto em veículo motorizado;Furto em residência;Furto em edifício comercial ou industrial
Tarouca;4604.0;188.0;206.0;0.0;0.0;0.0;0.0;0.0;0.0;76.0;0.0;0.0;0.0;2438.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1696.0;0.0;0.0;0.0;172.0;16.0;6.0;16.0;4.0
Torre de Moncorvo;5921.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;197.0;0.0;0.0;0.0;0.0;3191.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2533.0;0.0;0.0;0.0;344.0;21.0;0.0;4.0;9.0
Vila Nova de Foz Côa;4950.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;97.0;0.0;0.0;0.0;2763.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2090.0;0.0;0.0;0.0;288.0;17.0;6.0;10.0;10.0
Vila Real;29217.0;612.0;1482.0;0.0;0.0;0.0;0.0;0.0;0.0;730.0;0.0;0.0;0.0;12926.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13467.0;0.0;0.0;0.0;1307.0;113.0;35.0;42.0;26.0
Alfândega da Fé;3803.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.0;0.0;0.0;0.0;0.0;1544.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2195.0;0.0;0.0;0.0;172.0;7.0;0.0;0.0;5.0
Bragança;18986.0;207.0;413.0;0.0;0.0;0.0;3308.0;0.0;0.0;405.0;0.0;0.0;0.0;9449.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5204.0;0.0;0.0;0.0;1222.0;90.0;49.0;113.0;54.0
Macedo de Cavaleiros;10707.0;0.0;1308.0;0.0;0.0;0.0;0.0;0.0;0.0;192.0;0.0;0.0;0.0;4663.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4544.0;0.0;0.0;0.0;518.0;30.0;13.0;33.0;18.0
Miranda do Douro;5294.0;34.0;0.0;0.0;92.0;0.0;0.0;0.0;0.0;36.0;0.0;0.0;0.0;2346.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2786.0;0.0;0.0;0.0;230.0;25.0;6.0;4.0;6.0
Mirandela;12403.0;201.0;2567.0;0.0;0.0;0.0;0.0;0.0;0.0;451.0;0.0;0.0;0.0;6376.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2808.0;0.0;0.0;0.0;753.0;49.0;16.0;41.0;20.0
Mogadouro;7092.0;0.0;148.0;0.0;0.0;0.0;0.0;0.0;0.0;56.0;0.0;0.0;0.0;3439.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3449.0;0.0;0.0;0.0;222.0;9.0;5.0;5.0;6.0
Vila Flor;4522.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;191.0;0.0;0.0;0.0;0.0;1615.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2716.0;0.0;0.0;0.0;217.0;12.0;11.0;3.0;4.0
Vimioso;3637.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.0;0.0;0.0;0.0;2232.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1369.0;0.0;0.0;0.0;252.0;13.0;5.0;13.0;9.0
Vinhais;6744.0;0.0;0.0;0.0;0.0;2426.0;0.0;0.0;0.0;111.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4207.0;0.0;0.0;0.0;222.0;5.0;0.0;8.0;3.0
Alcobaça;23447.0;566.0;4649.0;0.0;0.0;0.0;0.0;0.0;0.0;3176.0;0.0;0.0;245.0;9564.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5247.0;0.0;0.0;0.0;1821.0;87.0;149.0;171.0;97.0
Alenquer;16432.0;1128.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2918.0;0.0;0.0;0.0;0.0;0.0;0.0;4991.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7395.0;0.0;0.0;0.0;1139.0;64.0;73.0;75.0;33.0
Arruda dos Vinhos;5779.0;0.0;184.0;0.0;0.0;0.0;0.0;0.0;0.0;529.0;0.0;0.0;0.0;2149.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2917.0;0.0;0.0;0.0;351.0;18.0;22.0;29.0;6.0
Bombarral;5573.0;0.0;712.0;0.0;0.0;0.0;0.0;0.0;0.0;779.0;0.0;0.0;0.0;2469.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1613.0;0.0;0.0;0.0;387.0;40.0;19.0;43.0;12.0
Cadaval;6995.0;0.0;0.0;0.0;211.0;0.0;0.0;0.0;0.0;360.0;0.0;0.0;0.0;3322.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3102.0;0.0;0.0;0.0;479.0;16.0;17.0;69.0;9.0
Caldas da Rainha;19583.0;602.0;1962.0;0.0;0.0;0.0;1863.0;0.0;0.0;1089.0;0.0;0.0;0.0;9216.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4851.0;0.0;0.0;0.0;1929.0;32.0;160.0;143.0;68.0
Lourinhã;11284.0;234.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;433.0;0.0;0.0;0.0;0.0;5040.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5577.0;0.0;0.0;0.0;702.0;31.0;37.0;65.0;15.0
Nazaré;6900.0;172.0;194.0;0.0;0.0;0.0;1311.0;430.0;0.0;453.0;0.0;0.0;0.0;1657.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2683.0;0.0;0.0;0.0;649.0;29.0;107.0;58.0;30.0
Óbidos;5426.0;0.0;194.0;0.0;0.0;0.0;0.0;0.0;0.0;387.0;0.0;0.0;0.0;2511.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2334.0;0.0;0.0;0.0;412.0;5.0;106.0;41.0;13.0
Peniche;10154.0;218.0;229.0;0.0;0.0;0.0;0.0;0.0;0.0;4535.0;0.0;0.0;0.0;2512.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2660.0;0.0;0.0;0.0;1122.0;21.0;188.0;98.0;70.0
Sobral de Monte Agraço;4402.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2244.0;0.0;0.0;0.0;0.0;851.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1307.0;0.0;0.0;0.0;329.0;13.0;7.0;27.0;7.0
Torres Vedras;31635.0;670.0;0.0;0.0;1541.0;0.0;1184.0;0.0;0.0;2914.0;0.0;0.0;162.0;6707.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18457.0;0.0;0.0;0.0;2064.0;123.0;146.0;150.0;70.0
Águeda;21916.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;910.0;0.0;0.0;0.0;0.0;6899.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14107.0;0.0;0.0;0.0;1657.0;103.0;69.0;123.0;62.0
Albergaria-a-Velha;12447.0;203.0;5701.0;0.0;0.0;0.0;0.0;0.0;0.0;379.0;0.0;0.0;0.0;4857.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1307.0;0.0;0.0;0.0;844.0;43.0;38.0;38.0;18.0
Anadia;14383.0;0.0;556.0;0.0;0.0;0.0;6377.0;0.0;0.0;476.0;0.0;0.0;0.0;4846.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2128.0;0.0;0.0;0.0;785.0;43.0;19.0;29.0;26.0
Aveiro;31529.0;1366.0;0.0;0.0;0.0;0.0;3480.0;0.0;0.0;1259.0;235.0;0.0;123.0;0.0;0.0;0.0;0.0;16694.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8372.0;0.0;0.0;0.0;2614.0;106.0;182.0;116.0;113.0
Estarreja;11411.0;0.0;0.0;0.0;0.0;0.0;978.0;0.0;0.0;1017.0;0.0;0.0;0.0;0.0;5253.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4163.0;0.0;0.0;0.0;1018.0;70.0;54.0;82.0;42.0
Ílhavo;12868.0;598.0;1125.0;0.0;0.0;0.0;0.0;0.0;0.0;719.0;0.0;0.0;0.0;6354.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4072.0;0.0;0.0;0.0;1330.0;63.0;88.0;121.0;50.0
Murtosa;4620.0;0.0;275.0;0.0;0.0;0.0;0.0;0.0;0.0;114.0;0.0;0.0;0.0;3441.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;0.0;0.0;0.0;371.0;28.0;34.0;13.0;5.0
Oliveira do Bairro;10116.0;0.0;4068.0;0.0;0.0;0.0;0.0;0.0;0.0;309.0;0.0;0.0;0.0;4799.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;940.0;0.0;0.0;0.0;924.0;54.0;24.0;66.0;58.0
Ovar;23679.0;1218.0;753.0;0.0;0.0;0.0;0.0;0.0;0.0;1535.0;0.0;0.0;0.0;11202.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8971.0;0.0;0.0;0.0;1863.0;152.0;87.0;136.0;75.0
Sever do Vouga;7339.0;0.0;670.0;0.0;0.0;0.0;0.0;0.0;0.0;160.0;0.0;0.0;0.0;2916.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3593.0;0.0;0.0;0.0;362.0;34.0;12.0;15.0;4.0
Vagos;11232.0;0.0;3903.0;0.0;0.0;0.0;0.0;0.0;0.0;238.0;0.0;0.0;0.0;5760.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1331.0;0.0;0.0;0.0;563.0;36.0;20.0;64.0;10.0
Arganil;6458.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;407.0;0.0;0.0;0.0;3965.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2086.0;0.0;0.0;0.0;354.0;25.0;15.0;23.0;7.0
Cantanhede;17629.0;0.0;337.0;0.0;0.0;0.0;0.0;0.0;0.0;627.0;0.0;0.0;0.0;11293.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5372.0;0.0;0.0;0.0;1052.0;77.0;48.0;77.0;34.0
Coimbra;58506.0;0.0;2492.0;0.0;0.0;0.0;5906.0;0.0;925.0;7078.0;528.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18946.0;0.0;0.0;0.0;0.0;22631.0;0.0;0.0;0.0;5182.0;385.0;426.0;302.0;169.0
Condeixa-a-Nova;7037.0;625.0;136.0;0.0;0.0;0.0;0.0;0.0;0.0;526.0;0.0;0.0;0.0;1935.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3815.0;0.0;0.0;0.0;420.0;38.0;55.0;15.0;15.0
Figueira da Foz;25313.0;885.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2189.0;310.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8918.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13011.0;0.0;0.0;0.0;1762.0;152.0;138.0;115.0;68.0
Góis;2546.0;0.0;85.0;0.0;0.0;0.0;1143.0;0.0;0.0;31.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1287.0;0.0;0.0;0.0;138.0;3.0;6.0;13.0;6.0
Lousã;7500.0;343.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;316.0;0.0;0.0;0.0;0.0;1442.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5399.0;0.0;0.0;0.0;515.0;33.0;41.0;28.0;25.0
Mealhada;8854.0;165.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;751.0;0.0;0.0;0.0;0.0;0.0;0.0;3475.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4463.0;0.0;0.0;0.0;504.0;29.0;37.0;21.0;14.0
Mira;7106.0;0.0;67.0;0.0;0.0;0.0;866.0;0.0;0.0;87.0;0.0;0.0;0.0;3086.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3000.0;0.0;0.0;0.0;366.0;30.0;29.0;35.0;15.0
Miranda do Corvo;6600.0;136.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;583.0;0.0;0.0;0.0;0.0;2583.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3298.0;0.0;0.0;0.0;285.0;27.0;6.0;25.0;15.0
Montemor-o-Velho;12654.0;271.0;0.0;0.0;0.0;0.0;0.0;555.0;0.0;1498.0;0.0;0.0;0.0;0.0;4861.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5469.0;0.0;0.0;0.0;627.0;57.0;29.0;39.0;17.0
Mortágua;5523.0;0.0;463.0;0.0;0.0;0.0;0.0;0.0;0.0;46.0;0.0;0.0;0.0;2563.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2451.0;0.0;0.0;0.0;194.0;15.0;6.0;14.0;11.0
Oliveira do Hospital;11952.0;0.0;512.0;0.0;0.0;0.0;0.0;0.0;0.0;347.0;0.0;0.0;0.0;2714.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8379.0;0.0;0.0;0.0;405.0;50.0;16.0;32.0;13.0
Pampilhosa da Serra;2704.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.0;0.0;0.0;0.0;2363.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;312.0;0.0;0.0;0.0;91.0;6.0;0.0;0.0;0.0
Penacova;8070.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;502.0;0.0;0.0;0.0;0.0;3178.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4390.0;0.0;0.0;0.0;351.0;26.0;29.0;15.0;8.0
Penela;3185.0;0.0;43.0;0.0;0.0;0.0;0.0;0.0;0.0;74.0;0.0;0.0;0.0;1723.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1345.0;0.0;0.0;0.0;218.0;13.0;18.0;25.0;6.0
Soure;10077.0;0.0;0.0;0.0;0.0;0.0;851.0;0.0;0.0;1063.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3960.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4203.0;0.0;0.0;0.0;383.0;29.0;13.0;37.0;18.0
Tábua;6255.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;514.0;0.0;0.0;0.0;0.0;1902.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3839.0;0.0;0.0;0.0;341.0;32.0;12.0;21.0;6.0
Vila Nova de Poiares;3525.0;0.0;95.0;0.0;0.0;0.0;0.0;0.0;0.0;99.0;0.0;0.0;0.0;1283.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2048.0;0.0;0.0;0.0;221.0;19.0;13.0;11.0;4.0
Alvaiázere;4082.0;0.0;724.0;0.0;0.0;0.0;0.0;0.0;0.0;45.0;0.0;0.0;0.0;2503.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;810.0;0.0;0.0;0.0;192.0;9.0;12.0;31.0;7.0
Ansião;6940.0;0.0;228.0;0.0;0.0;0.0;0.0;0.0;0.0;220.0;0.0;0.0;0.0;3641.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2851.0;0.0;0.0;0.0;266.0;17.0;7.0;25.0;16.0
Batalha;6576.0;0.0;863.0;0.0;0.0;0.0;0.0;0.0;0.0;303.0;0.0;0.0;0.0;4210.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1200.0;0.0;0.0;0.0;542.0;24.0;58.0;57.0;21.0
Castanheira de Pêra;1954.0;0.0;70.0;0.0;0.0;0.0;311.0;0.0;0.0;34.0;0.0;0.0;0.0;634.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;905.0;0.0;0.0;0.0;113.0;10.0;6.0;5.0;0.0
Figueiró dos Vinhos;4002.0;0.0;413.0;0.0;0.0;0.0;0.0;0.0;0.0;42.0;0.0;0.0;0.0;1764.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1783.0;0.0;0.0;0.0;202.0;10.0;13.0;13.0;4.0
Leiria;48900.0;1865.0;2639.0;0.0;0.0;0.0;0.0;0.0;0.0;2495.0;0.0;0.0;0.0;15735.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26166.0;0.0;0.0;0.0;3705.0;224.0;256.0;333.0;167.0
Marinha Grande;14607.0;442.0;169.0;0.0;0.0;0.0;3646.0;0.0;0.0;3925.0;0.0;0.0;0.0;1680.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4745.0;0.0;0.0;0.0;1357.0;109.0;94.0;92.0;62.0
Pedrógão Grande;2185.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;0.0;0.0;1309.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;846.0;0.0;0.0;0.0;161.0;12.0;4.0;13.0;3.0
Pombal;22535.0;0.0;1528.0;0.0;0.0;0.0;0.0;0.0;0.0;789.0;0.0;0.0;0.0;13598.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6620.0;0.0;0.0;0.0;1346.0;73.0;47.0;142.0;69.0
Porto de Mós;11279.0;0.0;466.0;0.0;0.0;0.0;0.0;0.0;0.0;459.0;0.0;0.0;0.0;3371.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6983.0;0.0;0.0;0.0;603.0;28.0;29.0;79.0;23.0
Aguiar da Beira;4214.0;0.0;0.0;0.0;0.0;0.0;2231.0;0.0;0.0;34.0;0.0;0.0;0.0;1949.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110.0;5.0;0.0;3.0;5.0
Carregal do Sal;5137.0;0.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0;97.0;0.0;0.0;0.0;1858.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2882.0;0.0;0.0;0.0;318.0;24.0;7.0;14.0;9.0
Castro Daire;9389.0;0.0;392.0;0.0;0.0;0.0;0.0;0.0;0.0;151.0;0.0;0.0;0.0;3508.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5338.0;0.0;0.0;0.0;304.0;12.0;15.0;32.0;8.0
Mangualde;10548.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;347.0;0.0;0.0;0.0;0.0;3016.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7185.0;0.0;0.0;0.0;543.0;31.0;28.0;23.0;29.0
Nelas;7336.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;343.0;0.0;0.0;0.0;0.0;3490.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3503.0;0.0;0.0;0.0;345.0;13.0;15.0;14.0;27.0
Oliveira de Frades;5416.0;225.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;158.0;0.0;0.0;0.0;0.0;4125.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;908.0;0.0;0.0;0.0;256.0;20.0;7.0;13.0;9.0
Penalva do Castelo;5211.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;178.0;0.0;0.0;0.0;0.0;2265.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2768.0;0.0;0.0;0.0;136.0;11.0;0.0;7.0;4.0
Santa Comba Dão;6300.0;0.0;307.0;0.0;0.0;0.0;0.0;0.0;0.0;88.0;0.0;0.0;0.0;2657.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3248.0;0.0;0.0;0.0;250.0;23.0;16.0;15.0;0.0
São Pedro do Sul;10622.0;146.0;0.0;0.0;0.0;0.0;732.0;0.0;0.0;82.0;0.0;0.0;0.0;4164.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5498.0;0.0;0.0;0.0;344.0;21.0;17.0;33.0;12.0
Sátão;7092.0;0.0;281.0;0.0;0.0;0.0;0.0;0.0;0.0;217.0;0.0;0.0;0.0;4096.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2498.0;0.0;0.0;0.0;223.0;11.0;5.0;11.0;7.0
Tondela;15079.0;0.0;1572.0;0.0;0.0;0.0;0.0;0.0;0.0;598.0;0.0;0.0;0.0;8720.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4189.0;0.0;0.0;0.0;582.0;39.0;30.0;37.0;31.0
Vila Nova de Paiva;3240.0;0.0;264.0;0.0;0.0;0.0;0.0;0.0;0.0;59.0;0.0;0.0;0.0;1026.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1891.0;0.0;0.0;0.0;124.0;6.0;0.0;31.0;5.0
