gamma;support;completeness;accuracy;def,rank;rules;
iris;;;;;;
0,95;0,1;0,33;0,97;0;33;1
0,3;0,1;0,67;0;0;79;2
0,96;0,1;1;0,98;0;97;3
bodyfat;;;;;;1
0,33;0,1;0,05;0,67;0;208;2
-0,13;0,1;0,1;0;0,08;1283;3
-0,14;0,1;0,14;0,01;0,59;1646;4
-0,08;0,1;0,19;0;0,83;1663;
glass;;;;;;1
0,91;0,1;0,07;0,95;0;207;2
0,3;0,1;0,13;0,11;0;3331;3
0,19;0,1;0,2;0,05;0;5416;4
0,11;0,1;0,27;0,02;0;7602;
housing;;;;;;1
1;0,1;0,07;1;0;320;2
0,39;0,1;0,13;0,09;0;2699;3
0,26;0,1;0,2;0,02;0;4101;4
0,22;0,1;0,27;0,01;0;4774;
stock;;;;;;1
0,99;0,1;0,1;0,99;0;513;2
0,3;0,1;0,2;0;0;3596;3
0,23;0,1;0,3;0,01;0;5651;4
0,27;0,1;0,4;0,1;0;6898;
vehicle;;;;;;1
0,96;0,1;0,17;0,98;0;1575;2
0,33;0,1;0,33;0,05;0;10322;3
0,11;0,1;0,5;0,12;0;16943;4
0,45;0,1;0,67;0,26;0;20695;
wine;;;;;;1
0,89;0,1;0,33;0,94;0;208;2
0,28;0,1;0,67;0,13;0;744;3
0,49;0,1;1;0,74;0,02;892;